isbn, note, bookcase, shelf
9780486809038, emily riehl, arbeidsrom_smal, 5
9781568811307, winning ways, arbeidsrom_smal, 5
9780486458731, cardano, arbeidsrom_smal, 5
9780486462394, alg topo, arbeidsrom_smal, 5
9780582447585, formulae, arbeidsrom_smal, 5
9780486466668, theory of numbers, arbeidsrom_smal, 5
9780486462431, conv surf, arbeidsrom_smal, 5
9780486449685, math fun and earnest, arbeidsrom_smal, 5
9780486417103, lin prog, arbeidsrom_smal, 5
9780130892393, complex analysis, arbeidsrom_smal, 5
9781292024967, abstract alg, arbeidsrom_smal, 5
9780471728979, kreyzig, arbeidsrom_smal, 5
9781847762399, calc 1, arbeidsrom_smal, 5
9781787267763, calc 1 nome, arbeidsrom_smal, 5
9781787267770, calc 2 nome, arbeidsrom_smal, 5
9780199208258, non lin ode, arbeidsrom_smal, 5
9788251915953, tabeller, arbeidsrom_smal, 5
9780750304009, fractals and chaos, arbeidsrom_smal, 5
9788241902116, geometri, arbeidsrom_smal, 5
9781620402788, simpsons, arbeidsrom_smal, 5
9781846683459, math curiosities, arbeidsrom_smal, 5
9789810245344, fuzzy logic, arbeidsrom_smal, 5
9781429224048, vect calc, arbeidsrom_smal, 5
9780122407611, gambling, arbeidsrom_smal, 5
9788278220054, rottman slitt, arbeidsrom_smal, 5
9780321748232, prob and stat, arbeidsrom_smal, 5
9780387954752, stats with r, arbeidsrom_smal, 5
9781568814421, maths by exp, arbeidsrom_smal, 5
